Validation_Set,Topics,Alpha,Beta,Coherence
['100% Corpus'],9,0.9099999999999999,0.01,0.4586145287954484
['100% Corpus'],9,0.9099999999999999,0.31,0.4660340848613167
['100% Corpus'],9,0.9099999999999999,0.61,0.5701307560532668
['100% Corpus'],9,0.9099999999999999,0.9099999999999999,0.48799240311406245
['100% Corpus'],9,0.9099999999999999,symmetric,0.44409715035402714
['100% Corpus'],9,symmetric,0.01,0.43966701330810204
['100% Corpus'],9,symmetric,0.31,0.502697865683314
['100% Corpus'],9,symmetric,0.61,0.5520147110995043
['100% Corpus'],9,symmetric,0.9099999999999999,0.47349391547867736
['100% Corpus'],9,symmetric,symmetric,0.4745946226709576
['100% Corpus'],9,asymmetric,0.01,0.4973027158319221
['100% Corpus'],9,asymmetric,0.31,0.48478329024529604
['100% Corpus'],9,asymmetric,0.61,0.4321578361989556
['100% Corpus'],9,asymmetric,0.9099999999999999,0.36060721205121055
['100% Corpus'],9,asymmetric,symmetric,0.4780105788262662
['100% Corpus'],10,0.01,0.01,0.45504108618973005
['100% Corpus'],10,0.01,0.31,0.44274100738758887
['100% Corpus'],10,0.01,0.61,0.4192726489582396
['100% Corpus'],10,0.01,0.9099999999999999,0.3749164121406726
['100% Corpus'],10,0.01,symmetric,0.42125250205031595
['100% Corpus'],10,0.31,0.01,0.46160638926897085
['100% Corpus'],10,0.31,0.31,0.44631857993093665
['100% Corpus'],10,0.31,0.61,0.4569214152125304
['100% Corpus'],10,0.31,0.9099999999999999,0.48758699594960053
['100% Corpus'],10,0.31,symmetric,0.4551717612393684
['100% Corpus'],10,0.61,0.01,0.44727843512167365
['100% Corpus'],10,0.61,0.31,0.5104792958273532
['100% Corpus'],10,0.61,0.61,0.5314263037824664
['100% Corpus'],10,0.61,0.9099999999999999,0.5259915986479503
['100% Corpus'],10,0.61,symmetric,0.4525485444501241
['100% Corpus'],10,0.9099999999999999,0.01,0.44323722372168317
['100% Corpus'],10,0.9099999999999999,0.31,0.4965013795894134
['100% Corpus'],10,0.9099999999999999,0.61,0.5872081560998939
['100% Corpus'],10,0.9099999999999999,0.9099999999999999,0.4783303310281294
['100% Corpus'],10,0.9099999999999999,symmetric,0.4406414318571293
['100% Corpus'],10,symmetric,0.01,0.47618390305020447
['100% Corpus'],10,symmetric,0.31,0.5016147774814442
['100% Corpus'],10,symmetric,0.61,0.45580351946081976
['100% Corpus'],10,symmetric,0.9099999999999999,0.4166133685251946
['100% Corpus'],10,symmetric,symmetric,0.4694754265632327
['100% Corpus'],10,asymmetric,0.01,0.423966688102832
['100% Corpus'],10,asymmetric,0.31,0.5033240977674196
['100% Corpus'],10,asymmetric,0.61,0.40011352488709073
['100% Corpus'],10,asymmetric,0.9099999999999999,0.3975991325307929
['100% Corpus'],10,asymmetric,symmetric,0.4371050841682411
['100% Corpus'],11,0.01,0.01,0.4531918973891802
['100% Corpus'],11,0.01,0.31,0.47878876892227856
['100% Corpus'],11,0.01,0.61,0.5164373477350801
['100% Corpus'],11,0.01,0.9099999999999999,0.4811373614497567
['100% Corpus'],11,0.01,symmetric,0.4419042285890546
['100% Corpus'],11,0.31,0.01,0.4312765040652598
['100% Corpus'],11,0.31,0.31,0.45229291652994713
['100% Corpus'],11,0.31,0.61,0.5058589832251692
['100% Corpus'],11,0.31,0.9099999999999999,0.4915756050792864
['100% Corpus'],11,0.31,symmetric,0.41714665789944283
['100% Corpus'],11,0.61,0.01,0.4464554994462221
['100% Corpus'],11,0.61,0.31,0.506775043502756
['100% Corpus'],11,0.61,0.61,0.541903766338513
['100% Corpus'],11,0.61,0.9099999999999999,0.5481647362311081
['100% Corpus'],11,0.61,symmetric,0.46782864947292674
['100% Corpus'],11,0.9099999999999999,0.01,0.4411398368269148
['100% Corpus'],11,0.9099999999999999,0.31,0.5029925874677141
['100% Corpus'],11,0.9099999999999999,0.61,0.592797423850698
['100% Corpus'],11,0.9099999999999999,0.9099999999999999,0.47399182247950067
['100% Corpus'],11,0.9099999999999999,symmetric,0.4253410061002304
['100% Corpus'],11,symmetric,0.01,0.47551603411045024
['100% Corpus'],11,symmetric,0.31,0.51233257406507
['100% Corpus'],11,symmetric,0.61,0.5128606805391526
['100% Corpus'],11,symmetric,0.9099999999999999,0.4756584195968175
['100% Corpus'],11,symmetric,symmetric,0.5018317309649558
['100% Corpus'],11,asymmetric,0.01,0.4655626390243384
['100% Corpus'],11,asymmetric,0.31,0.47969996078090893
['100% Corpus'],11,asymmetric,0.61,0.40315224642267106
['100% Corpus'],11,asymmetric,0.9099999999999999,0.39609385129938207
['100% Corpus'],11,asymmetric,symmetric,0.5003018003643765
['100% Corpus'],12,0.01,0.01,0.43664779036547313
['100% Corpus'],12,0.01,0.31,0.41472476587848145
['100% Corpus'],12,0.01,0.61,0.41402089535775466
['100% Corpus'],12,0.01,0.9099999999999999,0.4261459999026865
['100% Corpus'],12,0.01,symmetric,0.4025482441682086
['100% Corpus'],12,0.31,0.01,0.3972120468322722
['100% Corpus'],12,0.31,0.31,0.4159070817635839
['100% Corpus'],12,0.31,0.61,0.4442248373816777
['100% Corpus'],12,0.31,0.9099999999999999,0.4818025020552923
['100% Corpus'],12,0.31,symmetric,0.3913898595223369
['100% Corpus'],12,0.61,0.01,0.42489402949820176
['100% Corpus'],12,0.61,0.31,0.5040204088963828
['100% Corpus'],12,0.61,0.61,0.52780696449139
['100% Corpus'],12,0.61,0.9099999999999999,0.5903680534244399
['100% Corpus'],12,0.61,symmetric,0.4660680562593828
['100% Corpus'],12,0.9099999999999999,0.01,0.43865066164190475
['100% Corpus'],12,0.9099999999999999,0.31,0.533622402303366
['100% Corpus'],12,0.9099999999999999,0.61,0.5672629642340115
['100% Corpus'],12,0.9099999999999999,0.9099999999999999,0.46886245629265955
['100% Corpus'],12,0.9099999999999999,symmetric,0.46159829772060573
['100% Corpus'],12,symmetric,0.01,0.49480873733728165
['100% Corpus'],12,symmetric,0.31,0.39949015263377596
['100% Corpus'],12,symmetric,0.61,0.3620876182050015
['100% Corpus'],12,symmetric,0.9099999999999999,0.4005060109440293
['100% Corpus'],12,symmetric,symmetric,0.4947805302524059
['100% Corpus'],12,asymmetric,0.01,0.3901407169476157
['100% Corpus'],12,asymmetric,0.31,0.4506439121773494
['100% Corpus'],12,asymmetric,0.61,0.4166720857518443
['100% Corpus'],12,asymmetric,0.9099999999999999,0.4405718002055907
['100% Corpus'],12,asymmetric,symmetric,0.41439797278200774
['100% Corpus'],13,0.01,0.01,0.4008823830574921
['100% Corpus'],13,0.01,0.31,0.3944536275904067
['100% Corpus'],13,0.01,0.61,0.4058478829181827
['100% Corpus'],13,0.01,0.9099999999999999,0.4183477544593298
['100% Corpus'],13,0.01,symmetric,0.3993416908839732
['100% Corpus'],13,0.31,0.01,0.36551341932968184
['100% Corpus'],13,0.31,0.31,0.3483068012492654
['100% Corpus'],13,0.31,0.61,0.36572583865602415
['100% Corpus'],13,0.31,0.9099999999999999,0.4284225095527684
['100% Corpus'],13,0.31,symmetric,0.36733769648388204
